FID,ponto,id_bem,identificacao_bem,co_iphan,no_logradouro,nu_logradouro,id_natureza,ds_natureza,codigo_iphan,id_classificacao,ds_classificacao,id_tipo_bem,ds_tipo_bem,sg_tipo_bem,sintese_bem,dt_cadastro
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_258,POINT (-50.524536165523564 -23.14559180643326),2470,Casa 05,PR4123907BIED00005,Liberato Spagolla,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa 05, localizado(a) no estado de Paraná, cidade(s) de Santa Mariana, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-13
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_25a,POINT (-37.048478445639816 -8.420058143464807),2429,Garagem de troller 03 Estação Ferroviária de Arcoverde,PE2601201BIED00005,Coronel Antônio Japiassu,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Garagem de troller, localizado(a) no estado de Pernambuco, cidade(s) de Arcoverde, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-07
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_25b,POINT (-37.048548183074345 -8.42002630388948),2432,Fração do terreno do pátio Estação Ferroviária de Arcoverde,PE2601201BIED00007,Coronel Antônio Japiassu,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Fração do terreno do pátio, localizado(a) no estado de Pernambuco, cidade(s) de Arcoverde, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-10
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_25c,POINT (-45.37705207019038 -20.66724018073206),1456,Estação Ferroviária de Bugios,MG3126109BIED00004,Sem Nome,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Bugios, localizado(a) no estado de Minas Gerais, cidade(s) de Formiga, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_25f,POINT (-53.8037139 -29.685311099999993),1446,"Área de 1735,15 m², na Rua Manuel Ribas, 1213, em Santa Maria/ Rs / com benfeitoria de NBP n° 620177",RS4316907BIED00003,Venâncio Aires,2277,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Área de 1735,15 m², na Rua Manuel Ribas, 1213, em Santa Maria/ Rs / com benfeitoria de NBP n° 620177, localizado(a) no estado de Rio Grande do Sul, cidade(s) de Santa Maria, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_260,POINT (-47.743097891068125 -19.742984519446395),1342,"Estação de Peirópolis com área construída de 204,70 m²",MG3170107BIED00003,Sem Nome,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação de Peirópolis com área construída de 204,70 m², localizado(a) no estado de Minas Gerais, cidade(s) de Uberaba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_262,POINT (-50.524214300441805 -23.14546355797192),2469,Casa 03,PR4123907BIED00004,Liberato Spagolla,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa 03, localizado(a) no estado de Paraná, cidade(s) de Santa Mariana, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-13
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_264,POINT (-47.743111324928535 -19.742378630176155),2530,"Edificação em alvenaria com área construída de 40,75 m²",MG3170107BIED00007,Sem Nome,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Edificação em alvenaria com área construída de 40,75 m², localizado(a) no estado de Minas Gerais, cidade(s) de Uberaba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-25
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_265,POINT (-35.317357850993965 -7.059906763113236),1358,Estação Ferroviária de Mari,PB2509107BIED00001,Antônio de Luna Freire,146,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Mari, localizado(a) no estado de Paraíba, cidade(s) de Mari, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a22bdbb2_266,POINT (-50.524965318967105 -23.14571018951762),2471,Casa 02,PR4123907BIED00006,Liberato Spagolla,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Casa 02, localizado(a) no estado de Paraná, cidade(s) de Santa Mariana, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-13
